QuestionID,QuestionText,A,B,C,D,CorrectAnswer,Explanation,Domain/Topic
18,"Which AWS service is an example of a Platform as a Service (PaaS), allowing developers to deploy applications without managing the underlying infrastructure?","AWS Elastic Beanstalk","Amazon EC2","AWS Identity and Access Management (IAM)","Amazon S3","AWS Elastic Beanstalk","AWS Elastic Beanstalk is a Platform as a Service (PaaS) offering. It enables developers to deploy applications—such as web apps—simply by uploading their code. Elastic Beanstalk automatically handles the provisioning and management of the underlying resources (like EC2 instances, load balancers, and auto scaling), so developers don't have to manage the infrastructure. Amazon EC2 is Infrastructure as a Service (IaaS) where you manage servers, IAM is a security and identity service, and Amazon S3 is an object storage service.","Cloud Concepts"
19,Which AWS offering is an example of Infrastructure as a Service (IaaS)?,"Amazon EC2, which provides virtual servers you can configure and manage","AWS Lambda, which runs code without provisioning servers","Amazon RDS, which is a managed database service","Amazon QuickSight, which is a business analytics service","Amazon EC2, which provides virtual servers you can configure and manage","Amazon EC2 (Elastic Compute Cloud) is a prime example of Infrastructure as a Service (IaaS). With EC2, AWS provides the basic infrastructure (virtual servers and networking), and the customer is responsible for configuring the operating system and any software on those servers. AWS Lambda is a serverless computing service (more of a Function as a Service), Amazon RDS is a managed database service (closer to PaaS for databases), and Amazon QuickSight is a fully managed analytics (SaaS-like) service.","Cloud Concepts"
20,"Which of the following is a fundamental characteristic of cloud computing?","On-demand self-service resource provisioning","Requiring long-term contracts and upfront commitments","Manual hardware setup for each new server","Limited network access to resources","On-demand self-service resource provisioning","Cloud computing is defined by several key characteristics. One fundamental characteristic is on-demand self-service, meaning users can provision computing resources (such as server time or storage) as needed automatically, without requiring human interaction each time. This allows for quick and easy scalability. In contrast, traditional IT often requires manual hardware setup and upfront contracts to add capacity. Cloud providers also offer broad network access to resources, rather than limiting access.","Cloud Concepts"
21,"A company decides to completely redesign its application to a cloud-native microservices architecture during migration, rather than just moving it as-is. Which migration strategy does this describe?",Refactoring (re-architecting),"Rehosting (lift-and-shift)","Replatforming (lift-and-optimize)",Retaining,Refactoring (re-architecting),"Refactoring (or re-architecting) means revising an application’s architecture and code to fully leverage cloud-native features. In this scenario, the company is not simply moving the application as-is (which would be rehosting), but is instead redesigning it into a microservices architecture to take advantage of cloud capabilities. Replatforming involves making minor optimizations without a full rewrite, and retaining means keeping some applications on-premises (not migrating them).","Cloud Concepts"
22,Which statement best defines cloud computing?,"On-demand delivery of IT resources and services via the internet with pay-as-you-go pricing","A networking technology that connects local computers in a cloud formation","Personal computing on a local network using virtualized hardware","The requirement to own and maintain a data center at the provider's location","On-demand delivery of IT resources and services via the internet with pay-as-you-go pricing","Cloud computing is the on-demand delivery of IT resources (such as servers, storage, databases, networking, software, etc.) over the Internet with pay-as-you-go pricing. This means you can access technology services as needed without owning hardware, and you only pay for what you use. It is not about local networks or requiring customers to maintain data centers; instead, the cloud provider (like AWS) manages the infrastructure.","Cloud Concepts"
23,How does scalability differ from elasticity in cloud computing?,"Scalability is the ability to handle growth by adding resources, while elasticity is the ability to automatically scale resources up or down based on demand","Scalability refers to automatic resource adjustment, while elasticity requires manual intervention","Elasticity is about increasing capacity permanently, whereas scalability is temporary","There is no difference; both terms mean exactly the same thing in the cloud context","Scalability is the ability to handle growth by adding resources, while elasticity is the ability to automatically scale resources up or down based on demand","Scalability is a broader term meaning a system can accommodate increased workload by adding resources (scale up or out) when needed. Elasticity is a specific cloud capability that allows a system to automatically increase or decrease resources dynamically to match current demand, often without human intervention. In essence, elasticity is automatic scalability in real-time. Both ensure a system can handle varying loads, but elasticity emphasizes the automatic and temporary adjustment of capacity.","Cloud Concepts"
24,"Which disaster recovery benefit is more easily achieved with AWS Cloud compared to a traditional on-premises setup?","Quickly provisioning backup servers in distant geographic locations for redundancy","Eliminating the need to back up data altogether due to cloud reliability","Relying on a single data center for simpler recovery procedures","Using physical tape backups as the primary recovery method","Quickly provisioning backup servers in distant geographic locations for redundancy","AWS makes it easier to implement robust disaster recovery strategies by allowing you to quickly provision and use infrastructure in multiple geographically separated locations (Regions). For example, you can maintain backup servers or data replicas in a different Region, which can dramatically reduce recovery time in the event of a disaster. In a traditional on-premises setup, achieving the same level of geographic redundancy is expensive and slow. You still need to back up data in the cloud, and AWS encourages redundancy rather than relying on a single data center or outdated tape backups.","Cloud Concepts"
25,"In the context of AWS Cloud, what does 'multitenancy' mean?","Multiple customers share the same underlying infrastructure, but their resources are isolated from each other","Each customer is provided dedicated physical hardware that no one else uses","An AWS account can have at most ten users (tenants) accessing it at one time","Cloud services are rented to only one tenant organization per data center","Multiple customers share the same underlying infrastructure, but their resources are isolated from each other","Multitenancy is an architecture where multiple customers (tenants) share the same physical resources (such as servers or storage) provided by the cloud provider, while their data and usage are securely isolated from each other. AWS, like most public cloud providers, uses multitenant infrastructure to efficiently serve many customers at scale. This is in contrast to a single-tenant (dedicated) model where hardware is reserved for one customer. Despite sharing hardware, strong isolation ensures each customer's resources remain private and secure.","Cloud Concepts"
26,"Which statement best describes the AWS shared responsibility model?","AWS manages the security 'of' the cloud (infrastructure), while the customer is responsible for security 'in' the cloud (their data and configurations)","AWS is fully responsible for all aspects of security and compliance for applications running on AWS","Customers are solely responsible for all cloud infrastructure security and AWS only manages the network","Security responsibilities do not vary with the type of AWS service used","AWS manages the security 'of' the cloud (infrastructure), while the customer is responsible for security 'in' the cloud (their data and configurations)","In the AWS shared responsibility model, AWS is responsible for protecting the infrastructure that runs all of the services offered in the AWS Cloud (this includes the hardware, software, networking, and facilities that run AWS services). The customer is responsible for security in the cloud, which includes configuring their services securely, managing user access, and protecting their data and applications. The division of responsibilities can vary depending on the service; for example, AWS handles more aspects for fully managed services, whereas customers have more to manage for services like EC2.","Security and Compliance"
27,"Under the shared responsibility model, which of the following is AWS responsible for?","Physical security of the facilities where the AWS servers are located","Configuring network security groups for customer applications","Managing customer data encryption keys by default","User account password policies in the customer's AWS account","Physical security of the facilities where the AWS servers are located","AWS is responsible for the security 'of' the cloud, which includes the physical security of data centers. This means AWS controls access to its facilities, ensures the hardware is protected, and maintains the infrastructure. Customers, on the other hand, are responsible for things like configuring security groups, managing their data encryption (unless using AWS services to do so), and setting up their account policies.","Security and Compliance"
28,"Which of the following is a security responsibility of the customer when using AWS?","Encrypting sensitive data stored on Amazon S3","Securing the physical access to AWS data centers","Maintaining the virtualization infrastructure of AWS EC2 hosts","Ensuring AWS networking equipment is up-to-date with patches","Encrypting sensitive data stored on Amazon S3","Customers are responsible for protecting their data in the cloud. For example, if you store sensitive information in Amazon S3, it is your responsibility to enable encryption (server-side or client-side) and manage access to that data via permissions. AWS handles the physical security of data centers and the underlying infrastructure. AWS also maintains and patches the underlying infrastructure up to the hypervisor, but customers must patch and secure their own operating systems and applications on services like EC2.","Security and Compliance"
29,"When using Amazon RDS (a managed database service), which task remains the customer's responsibility under the shared responsibility model?","Managing the database schemas and data optimization","Installing database software on the underlying server","Patching the database engine and underlying OS","Performing backups of the database (since RDS does not support automated backups)","Managing the database schemas and data optimization","With Amazon RDS, AWS automates many administrative tasks such as software installation, patching of the database engine and OS, automated backups, and so on. However, the customer is still responsible for the contents and usage of the database – for example, defining the schema, optimizing queries, managing database users/permissions, and ensuring the data itself is appropriately secured (like using encryption, if needed). In other words, AWS handles the 'undifferentiated heavy lifting' of database maintenance, but the customer manages their data and how the database is used.","Security and Compliance"
30,"What is the primary purpose of AWS Identity and Access Management (IAM)?","To control access to AWS services and resources securely","To monitor network traffic in AWS environments","To manage encryption keys for data at rest","To automatically scale AWS resources based on demand","To control access to AWS services and resources securely","AWS Identity and Access Management (IAM) is a service that helps you securely control access to AWS resources. With IAM, you can create and manage AWS users and groups, and use permissions (in the form of policies) to allow or deny their access to resources. It enables you to implement the principle of least privilege by granting only the necessary permissions to users and roles. It is not used for network monitoring (that's Amazon VPC Flow Logs or similar services), key management (that's AWS KMS), or auto scaling (that's handled by AWS Auto Scaling).","Security and Compliance"
31,"An application running on an Amazon EC2 instance needs to read and write files to an S3 bucket. What is the recommended way to grant the EC2 instance access to the S3 bucket without embedding long-term credentials?","Attach an IAM role to the EC2 instance with permissions to access the bucket","Store the S3 user's access key and secret key in the application code","Enable S3 public access for the required bucket","Use the root user credentials in the application to access S3","Attach an IAM role to the EC2 instance with permissions to access the bucket","The best practice is to use an IAM role attached to the EC2 instance. This role can have a policy that grants the needed S3 access. When attached, AWS automatically provides temporary credentials to the instance via the instance metadata, so the application can call AWS APIs (like S3) without hardcoding any keys. Embedding access keys in code or using root credentials is highly discouraged due to security risks. Making the bucket public would also be a security risk and give unnecessary access to others.","Security and Compliance"
32,"Which of the following is a recommended best practice for securing your AWS root user account?","Enable multi-factor authentication (MFA) on the root account and use it only for a few essential tasks","Share the root account credentials only with your IT team for administrative tasks","Use the root account for everyday management of AWS resources","Disable the root account after creating an IAM administrator","Enable multi-factor authentication (MFA) on the root account and use it only for a few essential tasks","It is strongly recommended to secure the AWS root user by enabling multi-factor authentication (MFA) and to use the root account only when absolutely necessary (such as for initial setup or a few account-specific tasks). You should create separate IAM users or roles with administrative privileges for daily management. You should never share root credentials, and you cannot disable the root account (but you can avoid using it regularly). These practices ensure the highest level of protection for the root account, which has unrestricted access.","Security and Compliance"
33,"Which AWS service should you use to create and manage encryption keys for your applications?","AWS Key Management Service (AWS KMS)","Amazon Macie","AWS Certificate Manager","AWS CloudHSM Classic","AWS Key Management Service (AWS KMS)","AWS Key Management Service (KMS) is designed to create, manage, and control encryption keys (Customer Master Keys) used to encrypt your data across many AWS services and in your own applications. KMS integrates with services like EBS, S3, RDS, and more for encryption at rest, and allows you to define who can use keys and how. Amazon Macie is a data discovery and classification service (for finding sensitive data), AWS Certificate Manager is for managing SSL/TLS certificates, and AWS CloudHSM (the current version, not 'Classic') provides hardware security modules for keys that require single-tenant hardware.","Security and Compliance"
34,"Which service records AWS API calls and account activity for auditing purposes?",AWS CloudTrail,Amazon CloudFront,Amazon CloudWatch,AWS Audit Manager,AWS CloudTrail,"AWS CloudTrail is a service that logs all AWS API calls and account activity, including actions taken through the AWS Management Console, AWS SDKs, command-line tools, and other AWS services. CloudTrail records details such as the identity of the caller, time of the call, request parameters, and response elements. It is essential for auditing and compliance, as it provides a history of activity in your AWS account. CloudWatch monitors performance metrics and logs from resources, CloudFront is a content delivery network, and AWS Audit Manager is a service to help audit compliance controls but not for capturing API calls in real time.","Security and Compliance"
35,"Which AWS service continuously monitors and records configuration changes of your resources and can evaluate them for compliance?",AWS Config,Amazon GuardDuty,AWS CloudTrail,AWS Shield,AWS Config,"AWS Config is a service that tracks the configuration changes of your AWS resources over time. It maintains a history of resource configurations and can continuously evaluate these against desired configurations or compliance rules. This is useful for auditing and compliance, as you can detect when a resource drifts from a specified baseline or when a configuration change violates a security policy. GuardDuty is for threat detection, CloudTrail logs API calls, and AWS Shield protects against DDoS attacks.","Security and Compliance"
36,"What is Amazon GuardDuty used for?","Intelligent threat detection and continuous monitoring of malicious or unauthorized behavior in AWS accounts and workloads","Managing user identities and controlling access to AWS resources","Scanning application code for vulnerabilities before deployment","Optimizing AWS resource usage for cost savings","Intelligent threat detection and continuous monitoring of malicious or unauthorized behavior in AWS accounts and workloads","Amazon GuardDuty is a threat detection service that continuously monitors for malicious or unauthorized behavior in your AWS environment. It analyzes data like VPC flow logs, CloudTrail events, and DNS logs to identify potential threats such as anomalous API calls, suspicious network traffic, or compromised instances. It is a managed service that can alert you to findings (like crypto mining activity or unusual data access patterns) so you can take action. It does not manage identities (that's IAM), scan code (that would be more like code analysis tools or AWS CodeGuru for code quality), or handle cost optimization (that's Cost Explorer or Trusted Advisor).","Security and Compliance"
37,"Which AWS service helps protect applications by mitigating DDoS (Distributed Denial of Service) attacks?",AWS Shield,AWS Secrets Manager,Amazon Detective,AWS CloudTrail,AWS Shield,"AWS Shield is a managed Distributed Denial of Service (DDoS) protection service. All AWS customers benefit from AWS Shield Standard, which automatically protects against common, most frequent DDoS attacks at no additional charge. For more advanced protection (including visibility and specialized support against complex attacks), AWS offers Shield Advanced (a paid service). AWS Secrets Manager is for managing secrets, Amazon Detective is for investigating security findings, and CloudTrail is for auditing API calls.","Security and Compliance"
38,"Which service can you use to block common web exploits like SQL injection or cross-site scripting (XSS) at the application layer?",AWS WAF (Web Application Firewall),Amazon VPC Security Group,AWS Artifact,AWS Trusted Advisor,AWS WAF (Web Application Firewall),"AWS WAF is a web application firewall that helps protect your web applications from common web exploits such as SQL injection or cross-site scripting. You can define custom rules or use managed rule sets to allow, block, or count web requests based on conditions that include IP addresses, HTTP headers, HTTP body, URI strings, and more. Security Groups operate at the instance level (not application layer) controlling traffic by ports/IPs, AWS Artifact provides compliance documents, and Trusted Advisor gives recommendations on various aspects including security but does not block traffic.","Security and Compliance"
39,"Which AWS service provides on-demand access to AWS security and compliance reports and certifications (such as ISO, SOC, and PCI reports)?",AWS Artifact,AWS CloudTrail,AWS Certificate Manager,Amazon Macie,AWS Artifact,"AWS Artifact is a portal that provides customers with self-service access to AWS compliance documentation and agreements. Through AWS Artifact, you can download security and compliance reports such as SOC reports, ISO certifications, and Payment Card Industry (PCI) reports. It is essentially a repository of AWS's audit artifacts that you might need for your own compliance needs. CloudTrail is for logging, Certificate Manager handles SSL/TLS certificates, and Macie helps discover and classify sensitive data.","Security and Compliance"
40,"What does the principle of 'least privilege' mean in the context of AWS security?","Giving users or services only the minimum permissions necessary to perform their required tasks","Allowing all users full administrative access by default and removing permissions as issues arise","Granting every IAM user the same set of broad permissions for convenience","Ensuring that at least two people have access to every sensitive resource","Giving users or services only the minimum permissions necessary to perform their required tasks","The principle of least privilege means you grant each user, system, or component the minimal set of permissions it needs to perform its tasks, and no more. In AWS, this translates to carefully crafting IAM policies so that identities (users, roles, etc.) have only the permissions absolutely required for their function. This reduces the risk of accidental or malicious actions impacting resources that should not be accessible. It contrasts with giving broad or admin permissions to everyone, which would violate this principle.","Security and Compliance"
41,"In an Amazon VPC, what is the function of a security group?","It acts as a virtual firewall that controls inbound and outbound traffic for AWS resources (like EC2 instances)","It encrypts data stored in Amazon S3 buckets by default","It distributes traffic across multiple instances for high availability","It connects an on-premises network to AWS","It acts as a virtual firewall that controls inbound and outbound traffic for AWS resources (like EC2 instances)","A security group in Amazon VPC functions as a virtual firewall for your instance to control inbound and outbound traffic. You can specify which traffic is allowed to reach your instance (inbound rules) and which traffic is allowed to leave your instance (outbound rules). By default, security groups deny all inbound traffic and allow all outbound traffic, and you can add rules to allow specific traffic. They do not encrypt data (that's KMS or S3 bucket policies), distribute traffic (that's load balancers), or connect networks (that's VPN or Direct Connect).","Security and Compliance"
42,"Which service is used to securely store and automatically rotate database credentials, API keys, and other secrets in AWS?",AWS Secrets Manager,Amazon GuardDuty,AWS Key Management Service (KMS),AWS Systems Manager Parameter Store,AWS Secrets Manager,"AWS Secrets Manager is designed to store and manage sensitive information such as database credentials, API keys, and other secrets. It enables you to automatically rotate secrets (for supported services like RDS), and it provides a secure way to retrieve secrets by applications (removing the need to hardcode sensitive info). KMS manages encryption keys (not arbitrary secrets like passwords), GuardDuty is for threat detection, and Systems Manager Parameter Store can also store configuration data and some secrets, but Secrets Manager offers additional capabilities like rotation.","Security and Compliance"
43,"What does Amazon Inspector do for improving security?","It automatically scans AWS resources (like EC2 instances) for vulnerabilities or unintended network exposure","It monitors AWS accounts for suspicious activity using machine learning","It provides DDoS protection at the network and application layers","It manages firewall rules for your VPC automatically","It automatically scans AWS resources (like EC2 instances) for vulnerabilities or unintended network exposure","Amazon Inspector is a security assessment service that helps improve the security and compliance of applications deployed on AWS. It can automatically scan Amazon EC2 instances and container images (e.g., in Amazon ECR) for known vulnerabilities, missing patches, or deviations from best practices. It also checks for unintended network accessibility of your instances (e.g., ports open to the world). It differs from GuardDuty (which monitors account activity) and Shield (which is for DDoS protection). It does not manage VPC firewall rules (security groups/NACLs) automatically.","Security and Compliance"
44,"Which AWS service aggregates security findings from multiple AWS services (like GuardDuty, Inspector, and Macie) to provide a centralized security dashboard and compliance checks?",AWS Security Hub,Amazon CloudWatch Dashboard,AWS Config Rules,AWS Trusted Advisor,AWS Security Hub,"AWS Security Hub is a service that gives you a comprehensive view of your security state in AWS and helps you check your environment against security industry standards and best practices. It aggregates, organizes, and prioritizes security findings from various services such as Amazon GuardDuty, Amazon Inspector, Amazon Macie, and others. It also provides compliance scorecards (for example, checking against CIS AWS Foundations Benchmark). CloudWatch dashboards are for performance metrics, Config Rules evaluate configurations, and Trusted Advisor offers high-level recommendations (including some security checks) but not a full security aggregation like Security Hub.","Security and Compliance"
45,"For which of the following AWS services does the customer need to manage operating system updates and patches as part of their security responsibilities?",Amazon EC2,Amazon S3,Amazon DynamoDB,AWS Lambda,Amazon EC2,"When using Amazon EC2 (Infrastructure as a Service), customers have full control over the operating system running on their instances. This means they are responsible for maintaining that OS, including installing updates and security patches. In contrast, Amazon S3, DynamoDB, and AWS Lambda are fully managed services where AWS manages the underlying infrastructure and operating systems, so customers are not tasked with OS patching for those services.","Security and Compliance"
46,"Which AWS service enables you to centrally manage single sign-on (SSO) access to multiple AWS accounts and business applications using your existing identity sources?","AWS IAM Identity Center (AWS Single Sign-On)",Amazon Cognito,AWS Directory Service,AWS Organizations,"AWS IAM Identity Center (AWS Single Sign-On)","AWS IAM Identity Center (formerly AWS Single Sign-On) allows you to centrally manage SSO access to multiple AWS accounts and third-party business applications. It integrates with your existing identity sources (like Microsoft Active Directory or external SAML identity providers) so that your users can sign in with their corporate credentials and gain access to assigned accounts and applications. Amazon Cognito is more for adding user sign-up/sign-in to your web or mobile apps, AWS Directory Service provides directory options like Microsoft AD in AWS, and AWS Organizations helps group accounts but does not handle SSO by itself.","Security and Compliance"
